Row Labels,Day,NSEI,TWII,Ind
2019-01,15,10896.9502,9806.040039,1
2019-01,16,10928.15039,9803.990234,1
2019-01,17,10930.65039,9826.25,1
2019-01,18,10928.2002,9842.799805,1
2019-01,21,10987.4502,9919.94043,1
2019-01,22,10949.79981,9894.660156,1
2019-01,23,10944.79981,9873.389648,1
2019-01,24,10866.59961,9892.820313,1
2019-01,25,10931.7002,9980.080078,1
2019-01,28,10804.4502,10020.59961,1
2019-01,29,10690.34961,9952.339844,1
2019-01,30,10710.2002,9959.030273,1
2019-02,11,10930.90039,10065.51953,1
2019-02,12,10910.90039,10100.23047,1
2019-02,14,10792.7002,10135.62012,1
2019-02,15,10785.75,10135.16016,1
2019-02,18,10759.90039,10165.76953,1
2019-02,19,10722.84961,10173.46973,1
2019-02,20,10752.7002,10272.45996,1
2019-02,21,10808.84961,10319.53027,1
2019-02,22,10801.54981,10322.91992,1
2019-02,25,10887.09961,10390.92969,1
2019-02,26,10888.75,10416.91016,1
2019-02,27,10939.7002,10403.04981,1
2019-03,5,10994.90039,10334.33984,1
2019-03,6,11062.29981,10359.12012,1
2019-03,7,11089.04981,10367.98047,1
2019-03,8,11049,10274.28027,1
2019-03,11,11180.90039,10269.29981,1
2019-03,12,11320.40039,10382.12012,1
2019-03,13,11352.29981,10373.32031,1
2019-03,14,11383.4502,10407.26953,1
2019-03,15,11487,10439.24023,1
2019-03,18,11530.15039,10512.7002,1
2019-03,19,11543.84961,10525.59961,1
2019-03,20,11556.09961,10556.80957,1
2019-03,22,11572.79981,10667.94043,1
2019-03,25,11395.65039,10535.12012,1
2019-03,26,11496.75,10559.2002,1
2019-03,27,11546.2002,10556.75,1
2019-03,28,11588.5,10536.25977,1
2019-04,1,11738.09961,10735.07031,1
2019-04,2,11729.34961,10728.37988,1
2019-04,3,11761,10741.55957,1
2019-04,8,11710.29981,10807.04981,1
2019-04,9,11683.90039,10851.59961,1
2019-04,10,11680.04981,10875.65039,1
2019-04,11,11606.7002,10887.12012,1
2019-04,12,11657.34961,10836.44043,1
2019-04,15,11704.59961,10897.20996,1
2019-04,16,11810.9502,10927.84961,1
2019-04,18,11856.15039,11077.99023,1
2019-04,22,11727.04981,11027.49023,1
2019-04,23,11645.9502,11025.67969,1
2019-04,24,11740.84961,11070.84961,1
2019-04,25,11796.75,11046.76953,1
2019-04,26,11762.90039,10986.53027,1
2019-04,30,11756.25,10978.09961,1
2019-05,2,11789.29981,11046.63965,1
2019-05,3,11770.90039,11097,1
2019-05,6,11632.54981,11005.36035,1
2019-05,7,11657.04981,11004.75977,1
2019-05,8,11479.09961,10946.82031,1
2019-05,9,11357.59961,10910.46973,1
2019-05,10,11345.79981,10834.69043,1
2019-05,13,11300.2002,10693.44043,1
2019-05,14,11294.75,10544.96973,1
2019-05,15,11286.79981,10612.5,1
2019-05,16,11281.54981,10573.92969,1
2019-05,17,11426.15039,10564.96973,1
2019-05,20,11845.2002,10465.83984,1
2019-05,21,11883.54981,10477.2002,1
2019-05,22,11784.79981,10520.62012,1
2019-05,23,12041.15039,10404,1
2019-05,24,11859,10370.96973,1
2019-05,27,11957.15039,10365.44043,1
2019-05,28,11958.54981,10361.61035,1
2019-05,29,11931.90039,10307.75,1
2019-05,30,11968.54981,10384.36035,1
2019-05,31,12039.25,10515.09961,1
2019-06,3,12103.04981,10511.2002,1
2019-06,4,12095.2002,10518.33008,1
2019-06,6,12039.79981,10429.33008,1
2019-06,10,11975.04981,10566.46973,1
2019-06,11,12000.34961,10637.90039,1
2019-06,12,11962.4502,10630.69043,1
2019-06,13,11931.34961,10617.05957,1
2019-06,14,11911.84961,10568.91992,1
2019-06,17,11844.04981,10562.96973,1
2019-06,18,11727.2002,10573.76953,1
2019-06,19,11802.5,10778.63965,1
2019-06,20,11843.5,10799.13965,1
2019-06,21,11827.9502,10840.29004,1
2019-06,24,11754,10786.33008,1
2019-06,25,11814.40039,10787.62012,1
2019-06,26,11871.84961,10690.98047,1
2019-06,27,11911.15039,10800.29004,1
2019-06,28,11871.7002,10788.08008,1
2019-07,1,11884.65039,10914.84961,1
2019-07,2,11917.4502,10888.20996,1
2019-07,3,11945.2002,10812.65039,1
2019-07,4,11969.25,10791.28027,1
2019-07,5,11981.75,10812.37988,1
2019-07,8,11771.90039,10781.11035,1
2019-07,9,11582.54981,10733.57031,1
2019-07,10,11593.7002,10810.16016,1
2019-07,11,11599,10856.50977,1
2019-07,12,11639.54981,10867.58984,1
2019-07,15,11618.40039,10880.55957,1
2019-07,16,11670.04981,10899.83984,1
2019-07,17,11706.65039,10861.11035,1
2019-07,18,11677.15039,10835.42969,1
2019-07,19,11640.34961,10919.95996,1
2019-07,22,11398.15039,10949.75977,1
2019-07,23,11398.15039,10994.44043,1
2019-07,24,11359.75,10976.45996,1
2019-07,25,11361.40039,10945.91992,1
2019-07,26,11307.59961,10907.44043,1
2019-07,29,11310.9502,10905.74023,1
2019-07,30,11267.4502,10927.16016,1
2019-07,31,11145.29981,10835.79981,1
2019-08,1,11076.75,10773.25,1
2019-08,2,11080.15039,10641.28027,1
2019-08,5,10895.79981,10542.49023,1
2019-08,6,11018.54981,10425.59961,1
2019-08,7,10975.65039,10461.37012,1
2019-08,8,11058.04981,10500.76953,1
2019-08,13,11145.90039,10436.62012,1
2019-08,14,11078.15039,10518.01953,1
2019-08,16,11068.65039,10456.32031,1
2019-08,19,11146.90039,10516.04981,1
2019-08,20,11076.29981,10538.12012,1
2019-08,21,11034.2002,10545.25,1
2019-08,22,10908.25,10596.41016,1
2019-08,23,10862.54981,10541.73047,1
2019-08,26,11070.29981,10453.40039,1
2019-08,27,11141.75,10431.78027,1
2019-08,28,11129.65039,10456.29981,1
2019-08,29,11021.09961,10466.99023,1
2019-08,30,11042.59961,10618.04981,1
2019-09,3,10967.5,10650.15039,1
2019-09,4,10858.75,10670.42969,1
2019-09,5,10920.09961,10766.59961,1
2019-09,6,10957.04981,10803.07031,1
2019-09,11,11054.79981,10815.58984,1
2019-09,12,11081.75,10862.67969,1
2019-09,16,11052.7002,10898.12988,1
2019-09,17,11000.09961,10912.23047,1
2019-09,18,10885.15039,10971.54004,1
2019-09,19,10845.2002,10954.17969,1
2019-09,20,11381.90039,10931.75977,1
2019-09,23,11694.84961,10948.19043,1
2019-09,24,11655.04981,10947.53027,1
2019-09,25,11564.9502,10885.66992,1
2019-09,26,11610.84961,10934.91016,1
2019-09,27,11593.59961,10921.16992,1
2019-10,1,11554.2002,10967.65039,1
2019-10,3,11370.40039,10888.40039,1
2019-10,4,11400.29981,10941.49023,1
2019-10,7,11233.84961,10954.4502,1
2019-10,9,11321.59961,10989.38965,1
2019-10,14,11420.4502,11085.49023,1
2019-10,15,11462.34961,11126.4502,1
2019-10,16,11481.04981,11180.11035,1
2019-10,17,11599.09961,11186.87988,1
2019-10,18,11684.7002,11237.37988,1
2019-10,22,11714.34961,11271.25,1
2019-10,23,11651.59961,11281.12012,1
2019-10,24,11679.59961,11320.13965,1
2019-10,25,11646.90039,11347.17969,1
2019-10,29,11809.40039,11373.9502,1
2019-10,30,11883.9502,11380.28027,1
2019-10,31,11945,11428.41992,1
2019-11,1,11918.29981,11399.53027,1
2019-11,4,11989.15039,11559.07031,1
2019-11,5,11978.9502,11644.03027,1
2019-11,6,12002.90039,11668.2002,1
2019-11,7,12021.40039,11647.46973,1
2019-11,8,12034.15039,11642.41016,1
2019-11,11,11932.65039,11570.33008,1
2019-11,13,11946.79981,11509.37012,1
2019-11,14,11895.65039,11498.25,1
2019-11,15,11973.65039,11552.25,1
2019-11,18,11946.2002,11599.78027,1
2019-11,19,11958.84961,11656.40039,1
2019-11,20,12038.59961,11649.07031,1
2019-11,21,12028.2002,11573.83984,1
2019-11,22,11968.09961,11577.01953,1
2019-11,25,12084.5,11604.75,1
2019-11,26,12132.4502,11642.95996,1
2019-11,27,12114.90039,11651.73047,1
2019-11,28,12158.79981,11654.05957,1
2019-11,29,12147.40039,11623.58984,1
2019-12,2,12137.15039,11524.84961,1
2019-12,3,12068.59961,11531.58008,1
2019-12,4,12054.7002,11513.83008,1
