date,open,high,low,close,adjusted close,volume
17/4/1967,528.159973,528.159973,528.159973,528.159973,528.159973,0
18/4/1967,532.48999,532.48999,532.48999,532.48999,532.48999,0
19/4/1967,533.130005,533.130005,533.130005,533.130005,533.130005,0
20/4/1967,534.289978,534.289978,534.289978,534.289978,534.289978,0
21/4/1967,535.559998,535.559998,535.559998,535.559998,535.559998,0
24/4/1967,537.25,537.25,537.25,537.25,537.25,0
25/4/1967,540.109985,540.109985,540.109985,540.109985,540.109985,0
26/4/1967,539.580017,539.580017,539.580017,539.580017,539.580017,0
27/4/1967,544.02002,544.02002,544.02002,544.02002,544.02002,0
28/4/1967,544.969971,544.969971,544.969971,544.969971,544.969971,0
1/5/1967,544.650024,544.650024,544.650024,544.650024,544.650024,0
2/5/1967,544.22998,544.22998,544.22998,544.22998,544.22998,0
3/5/1967,545.599976,545.599976,545.599976,545.599976,545.599976,0
4/5/1967,547.609985,547.609985,547.609985,547.609985,547.609985,0
5/5/1967,548.25,548.25,548.25,548.25,548.25,0
8/5/1967,549.090027,549.090027,549.090027,549.090027,549.090027,0
9/5/1967,543.48999,543.48999,543.48999,543.48999,543.48999,0
10/5/1967,542.539978,542.539978,542.539978,542.539978,542.539978,0
11/5/1967,545.179993,545.179993,545.179993,545.179993,545.179993,0
12/5/1967,544.02002,544.02002,544.02002,544.02002,544.02002,0
15/5/1967,539.890015,539.890015,539.890015,539.890015,539.890015,0
16/5/1967,542.330017,542.330017,542.330017,542.330017,542.330017,0
17/5/1967,540.849976,540.849976,540.849976,540.849976,540.849976,0
18/5/1967,539.679993,539.679993,539.679993,539.679993,539.679993,0
19/5/1967,537.460022,537.460022,537.460022,537.460022,537.460022,0
22/5/1967,535.669983,535.669983,535.669983,535.669983,535.669983,0
23/5/1967,533.340027,533.340027,533.340027,533.340027,533.340027,0
24/5/1967,527.099976,527.099976,527.099976,527.099976,527.099976,0
25/5/1967,532.280029,532.280029,532.280029,532.280029,532.280029,0
26/5/1967,531.330017,531.330017,531.330017,531.330017,531.330017,0
29/5/1967,528.580017,528.580017,528.580017,528.580017,528.580017,0
31/5/1967,519.909973,519.909973,519.909973,519.909973,519.909973,0
1/6/1967,526.25,526.25,526.25,526.25,526.25,0
2/6/1967,524.030029,524.030029,524.030029,524.030029,524.030029,0
5/6/1967,515.359985,515.359985,515.359985,515.359985,515.359985,0
6/6/1967,525.409973,525.409973,525.409973,525.409973,525.409973,0
7/6/1967,530.059998,530.059998,530.059998,530.059998,530.059998,0
8/6/1967,533.02002,533.02002,533.02002,533.02002,533.02002,0
9/6/1967,534.5,534.5,534.5,534.5,534.5,0
12/6/1967,537.669983,537.669983,537.669983,537.669983,537.669983,0
13/6/1967,540.849976,540.849976,540.849976,540.849976,540.849976,0
14/6/1967,539.890015,539.890015,539.890015,539.890015,539.890015,0
15/6/1967,540.73999,540.73999,540.73999,540.73999,540.73999,0
16/6/1967,540.950012,540.950012,540.950012,540.950012,540.950012,0
19/6/1967,541.059998,541.059998,541.059998,541.059998,541.059998,0
20/6/1967,540.849976,540.849976,540.849976,540.849976,540.849976,0
21/6/1967,539.580017,539.580017,539.580017,539.580017,539.580017,0
22/6/1967,538.409973,538.409973,538.409973,538.409973,538.409973,0
23/6/1967,538.630005,538.630005,538.630005,538.630005,538.630005,0
26/6/1967,536.51001,536.51001,536.51001,536.51001,536.51001,0
27/6/1967,534.609985,534.609985,534.609985,534.609985,534.609985,0
28/6/1967,534.929993,534.929993,534.929993,534.929993,534.929993,0
29/6/1967,532.390015,532.390015,532.390015,532.390015,532.390015,0
30/6/1967,531.539978,531.539978,531.539978,531.539978,531.539978,0
3/7/1967,533.22998,533.22998,533.22998,533.22998,533.22998,0
5/7/1967,535.97998,535.97998,535.97998,535.97998,535.97998,0
6/7/1967,535.77002,535.77002,535.77002,535.77002,535.77002,0
7/7/1967,538.309998,538.309998,538.309998,538.309998,538.309998,0
10/7/1967,540.950012,540.950012,540.950012,540.950012,540.950012,0
11/7/1967,543.380005,543.380005,543.380005,543.380005,543.380005,0
12/7/1967,543.380005,543.380005,543.380005,543.380005,543.380005,0
13/7/1967,543.700012,543.700012,543.700012,543.700012,543.700012,0
14/7/1967,545.599976,545.599976,545.599976,545.599976,545.599976,0
17/7/1967,545.919983,545.919983,545.919983,545.919983,545.919983,0
18/7/1967,549.830017,549.830017,549.830017,549.830017,549.830017,0
